MGU,latitude,longitude
E02000173,51.54971,-0.17294
E02000187,51.5316,-0.13087
E02000414,51.59108,-0.07917
E02000415,51.5908,-0.09528
E02000420,51.58512,-0.07866
E02000421,51.58484,-0.06847
E02000422,51.5825,-0.08502
E02000520,51.51172,-0.43227
E02000522,51.50448,-0.47465
E02000524,51.48004,-0.47136
E02000572,51.53657,-0.1175
