         16595716 function calls (16555956 primitive calls) in 4.772 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1142    0.012    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:783(_compile_bytecode)
        1    0.000    0.000    0.088    0.088 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/distributions.py:1(<module>)
        1    0.000    0.000    0.086    0.086 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/spatial/__init__.py:1(<module>)
2859/2836    0.022    0.000    0.085    0.000 {built-in method builtins.__build_class__}
      216    0.003    0.000    0.084    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:388(_parse)
     1142    0.083    0.000    0.083    0.000 {built-in method marshal.loads}
   123252    0.051    0.000    0.082    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexing.py:2801(check_dict_or_set_indexers)
    65418    0.052    0.000    0.078    0.000 /home/gavin/Documents/MAY/june_zero/world_specific_code/student_dorms/student_dorm_subset_distributor.py:21(find_subset_for_person)
      572    0.026    0.000    0.074    0.000 /home/gavin/Documents/MAY/june_zero/world_specific_code/household_distributors/household_distributor.py:291(reopen_threshold_closed_venues)
        1    0.027    0.027    0.072    0.072 /home/gavin/Documents/MAY/june_zero/may/population/population.py:289(get_statistics)
   189165    0.046    0.000    0.071    0.000 /home/gavin/Documents/MAY/june_zero/world_specific_code/household_distributors/household_distributor.py:97(get_threshold_for_pass)
        1    0.000    0.000    0.070    0.070 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/sparse/__init__.py:1(<module>)
        1    0.000    0.000    0.065    0.065 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/__init__.py:1(<module>)
        1    0.000    0.000    0.063    0.063 /home/gavin/Documents/MAY/june_zero/may/stats/stats_venues.py:83(print_extremes)
        1    0.032    0.032    0.063    0.063 /home/gavin/Documents/MAY/june_zero/may/stats/stats_venues.py:50(get_extreme_membership)
        1    0.000    0.000    0.061    0.061 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_continuous_distns.py:1(<module>)
        1    0.000    0.000    0.061    0.061 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/sparse/_base.py:1(<module>)
        1    0.000    0.000    0.060    0.060 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/sparse/_sputils.py:1(<module>)
790551/790538    0.057    0.000    0.060    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.060    0.060 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_util.py:1(<module>)
        1    0.000    0.000    0.059    0.059 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_array_api.py:1(<module>)
     1058    0.015    0.000    0.059    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/random.py:354(shuffle)
        1    0.000    0.000    0.059    0.059 /home/gavin/Documents/MAY/june_zero/may/stats/stats_venues.py:72(print_lots_of_stats)
