         16595716 function calls (16555956 primitive calls) in 4.772 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/six.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/dateutil/__init__.py:12(__getattr__)
        6    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distribution_infrastructure.py:1616(_update_parameters)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/xml.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/generic.py:12563(sum)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/base64.py:1(<module>)
        5    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/decorator.py:177(create)
      431    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_util.py:548(<genexpr>)
      207    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typeconv/typeconv.py:49(set_compatible)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/linalg/_special_matrices.py:1(<module>)
     1075    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:454(_str_header)
       28    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distribution_infrastructure.py:305(get_numerical_endpoints)
       72    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/pydoc.py:117(_finddoc)
     2508    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typeconv/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_relative_risk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/cast.py:1(<module>)
     5485    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/inspect.py:2816(name)
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/generic.py:12524(_min_count_stat_function)
       11    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/typing.py:1634(__getitem__)
       63    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_axis_nan_policy.py:291(_get_axis_params)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/yaml/representer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/ctypeslib/__init__.py:1(<module>)
        3    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/arrayprint.py:619(array2string)
       61    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexes/multi.py:1(<module>)
       26    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/internals/blocks.py:2659(get_values)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/scimath.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1239(_cache_bytecode)
       71    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/_compiler.py:389(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/spatial/_kdtree.py:1(<module>)
     1363    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/unittest/main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/frame.py:11688(sum)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_stats_py.py:3245(median_abs_deviation)
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/extending.py:361(_register)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/uuid.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/json/encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/_add_newdocs_scalars.py:1(<module>)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
     1214    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/flags.py:51(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_stats_py.py:3072(iqr)
        5    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/experimental/jitclass/overloads.py:177(register_reflected_overload)
       26    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/generic.py:5620(<genexpr>)
      192    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/_parser.py:273(getuntil)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/ipaddress.py:2392(_IPv6Constants)
      320    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_array_api.py:676(__str__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/charset_normalizer/utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:1(<module>)
     4883    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/copy.py:173(_deepcopy_atomic)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/fft/_fftlog.py:1(<module>)
      134    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/importlib/metadata/__init__.py:851(normalize)
      353    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/enum.py:829(__setattr__)
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/generic.py:6684(copy)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/reshape/melt.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/groupby/generic.py:154(SeriesGroupBy)
       64    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/ops/common.py:37(wrapper)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1244(set_data)
      665    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/logging/__init__.py:167(<lambda>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/zstandard/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_uarray/_backend.py:1(<module>)
       64    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/functools.py:544(decorating_function)
       35    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/ipaddress.py:2316(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/sparse/linalg/_dsolve/linsolve.py:1(<module>)
       64    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/inspect.py:2850(__str__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/config.py:179(process_environ)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/selectors.py:1(<module>)
       12    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexes/extension.py:125(wrapper)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/frame.py:11462(_reduce)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/special/_multiufuncs.py:1(<module>)
      141    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/pathlib/_local.py:498(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_stats_py.py:1367(kurtosis)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/optimize/_trustregion_krylov.py:1(<module>)
       25    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/typing.py:2199(__init_subclass__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexes/category.py:1(<module>)
       60    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/inspect.py:2008(_signature_get_user_defined_method)
     1193    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/_config/__init__.py:34(using_copy_on_write)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/colorama/ansitowin32.py:72(AnsiToWin32)
      213    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:531(_str_index)
       64    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/ops/common.py:43(_unpack_zerodim_and_defer)
        3    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/arrayprint.py:581(_array2string)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/interchange/from_dataframe.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/fft/_backend.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/resample.py:121(Resampler)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/colorama/winterm.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:200(_write_atomic)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typeconv/typeconv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/optimize/_differentiable_functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/yaml/error.py:1(<module>)
       16    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/_arraypad_impl.py:544(pad)
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/sysconfig/__init__.py:460(get_path)
       12    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distribution_infrastructure.py:943(filtered)
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexes/base.py:5664(identical)
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/sysconfig/__init__.py:448(get_paths)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/dtypes.py:1164(IntervalDtype)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/_nanfunctions_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/overrides.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/Documents/MAY/june_zero/world_specific_code/care_home_distributor/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/glob.py:1(<module>)
      452    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/enum.py:78(_is_private)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/computation/ops.py:1(<module>)
      483    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/enum.py:1589(_get_value)
       24    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distribution_infrastructure.py:386(draw)
      665    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/logging/__init__.py:455(usesTime)
        4    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_stats_py.py:1153(_demean)
       29    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/logging/__init__.py:2129(getLogger)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/html.py:1(<module>)
      210    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:591(get_func)
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/sysconfig/__init__.py:269(_expand_vars)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/pickle.py:1(<module>)
       32    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/functools.py:887(<lambda>)
      144    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typeconv/typeconv.py:60(set_unsafe_convert)
     2508    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/reshape/pivot.py:1(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method _io.open}
     1188    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/_parser.py:82(groups)
        8    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/nanops.py:68(__init__)
      279    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/_parser.py:448(_uniq)
      120    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/dataclasses.py:437(add_fn)
      665    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/logging/__init__.py:129(getLevelName)
        9    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/frame.py:4637(_get_item_cache)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/optimize/_shgo_lib/_complex.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/_version.py:54(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/datetime.py:1(<module>)
       32    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexes/base.py:5335(__contains__)
      720    0.000    0.000    0.000    0.000 <frozen posixpath>:42(_get_sep)
     1683    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       44    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/compiler_machinery.py:418(make_festive)
       10    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/frame.py:3994(_ixs)
      665    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/threading.py:1429(current_thread)
       23    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/nanops.py:70(<genexpr>)
      419    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/enum.py:764(__delattr__)
       49    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/ma/core.py:137(get_object_signature)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/printoptions.py:1(<module>)
       65    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/enum.py:946(_get_mixins_)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexes/interval.py:160(IntervalIndex)
     3175    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1209    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/_config/__init__.py:55(using_string_dtype)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/misc/coverage_support.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/missing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/types/npytypes.py:1(<module>)
       16    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/window/doc.py:93(window_agg_numba_parameters)
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distn_infrastructure.py:4172(get_distribution_names)
      223    0.000    0.000    0.000    0.000 /home/gavin/Documents/MAY/june_zero/may/population/person.py:100(__repr__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/imputils.py:1(<module>)
        8    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/extending.py:148(register_jitable)
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/computation/expr.py:189(_filter_nodes)
       23    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/yaml/parser.py:273(parse_node)
       35    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/getlimits.py:494(__new__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/ipaddress.py:1579(_IPv4Constants)
        9    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_multivariate.py:5755(_docfill)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/integrate/_ivp/rk.py:1(<module>)
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexes/base.py:843(_engine)
       87    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:658(splitlines_x)
     1185    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/unittest/result.py:1(<module>)
     1063    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/typing.py:1096(__eq__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/compiler_machinery.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/Documents/MAY/june_zero/world_specific_code/student_dorms/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/np/ufunc/dufunc.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(_held_figure)
      106    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexes/extension.py:32(_inherit_from_data)
     3002    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/typing.py:1427(<genexpr>)
        8    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/extending.py:165(wrap)
       81    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/inspect.py:1441(formatannotation)
      572    0.000    0.000    0.000    0.000 {method 'clear' of 'set' objects}
        3    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/decorator.py:200(decorate)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/concat.py:1(<module>)
  186/160    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/_compiler.py:439(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/html/entities.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/window/ewm.py:133(ExponentialMovingWindow)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/generic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/_shape_base_impl.py:1(<module>)
       22    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/yaml/parser.py:270(parse_block_node_or_indentless_sequence)
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/series.py:6480(any)
      141    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/pathlib/_local.py:117(__init__)
      283    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/enum.py:37(_is_descriptor)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/mstats.py:1(<module>)
     2350    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/generic.py:408(flags)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/tempfile.py:1(<module>)
      151    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        8    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/special/_multiufuncs.py:25(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distribution_infrastructure.py:1506(UnivariateDistribution)
  190/155    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/typing.py:1773(__hash__)
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:1(<module>)
        7    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/_arraysetops_impl.py:145(unique)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/computation/expressions.py:1(<module>)
       21    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/ipaddress.py:1512(__init__)
       26    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/ma/core.py:7065(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/internals/ops.py:1(<module>)
       29    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/logging/__init__.py:1362(getLogger)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/plotting/_core.py:639(PlotAccessor)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexes/multi.py:228(MultiIndex)
       26    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/generic.py:514(_validate_dtype)
      123    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/computation/expr.py:193(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/unittest/loader.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/yaml/scanner.py:668(fetch_plain)
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexes/base.py:5564(equals)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/internals/blocks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/errors/__init__.py:1(<module>)
       89    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/typing.py:1131(_typevar_subst)
     1178    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/_config/config.py:617(_select_options)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/event.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/_strptime.py:181(__calc_date_time)
        6    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distribution_infrastructure.py:1779(_validate)
       26    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/ma/core.py:7071(getdoc)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/arrays/floating.py:1(<module>)
       17    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/generic.py:36(create_pandas_abc_type)
