geo_unit,name,address,capacity,estimated_residents_50_plus,estimated_female_residents,estimated_male_residents,female_percentage,male_percentage,avg_age_estimate,data_quality,age_50_64_residents,age_50_64_female,age_50_64_male,age_65_74_residents,age_65_74_female,age_65_74_male,age_75_84_residents,age_75_84_female,age_75_84_male,age_85_94_residents,age_85_94_female,age_85_94_male,age_95_plus_residents,age_95_plus_female,age_95_plus_male,total_age_band_residents,age_band_data_quality,prop_0_15,prop_16_24,prop_25_34,prop_35_49,prop_50_64,prop_65_99,number_staff
E00010394,Priscilla Wakefield House,"Rangemoor Road, London N15 4NA",117.0,112,61,51,54.2,45.8,78,Good,16,9,7,20,11,9,29,16,13,40,22,18,7,4,3,112,Good,0.0,0.0,0.0,0.0,0.1428571428571428,0.8571428571428572,58
E00010276,Peregrine House,"350 Hermitage Road, Tottenham, London N15 5RE",36.0,47,23,24,49.2,50.8,78,Good,22,11,11,6,3,3,12,6,6,7,3,4,0,0,0,47,Good,0.0,0.0,0.0,0.0,0.4680851063829787,0.5319148936170213,18
E00012480,Hayes Cottage Nursing Home,"Grange Road, Hayes UB3 2RR",52.0,53,46,7,86.0,14.0,78,Good,9,8,1,10,9,1,18,15,3,16,14,2,0,0,0,53,Good,0.0,0.0,0.0,0.0,0.169811320754717,0.8301886792452831,26
E00012569,Franklin House,"The Green, Swan Road, West Drayton UB7 7PW",66.0,85,50,35,58.9,41.1,78,Good,18,11,7,16,9,7,23,14,9,22,13,9,6,4,2,85,Good,0.0,0.0,0.0,0.0,0.2142857142857142,0.7857142857142857,33
