name,geo_unit,n_total,n_16_24,n_25_34,n_35_49,n_50_64,n_65_99,prop_16_24,prop_25_34,prop_35_49,prop_50_64,prop_65_99
Dorm1,E00004321,18.0,13.0,5.0,0.0,0.0,0.0,0.7222222222222222,0.2777777777777778,0.0,0.0,0.0
Dorm2,E00004762,60.0,55.0,5.0,0.0,0.0,0.0,0.9166666666666666,0.0833333333333333,0.0,0.0,0.0
Dorm3,E00190425,162.0,94.0,54.0,14.0,0.0,0.0,0.5802469135802469,0.3333333333333333,0.0864197530864197,0.0,0.0
Dorm4,E00190456,301.0,251.0,44.0,6.0,0.0,0.0,0.8338870431893688,0.1461794019933555,0.0199335548172757,0.0,0.0
Dorm5,E00010403,131.0,106.0,19.0,6.0,0.0,0.0,0.8091603053435115,0.1450381679389313,0.0458015267175572,0.0,0.0
Dorm6,E00012179,5.0,1.0,2.0,2.0,0.0,0.0,0.2,0.4,0.4,0.0,0.0
