geo_unit,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
E00004439,1,4,0,1,2,3,2,7,2,2,1,3,1,0,0,1,1,0,0,1,0,3,1,0,0,1,3,1,0,0,0,2,1,0,0,2,5,3,2,1,3,6,3,2,1,1,4,2,1,0,1,4,2,1,1,1,4,2,0,1,1,4,2,0,1,0,0,2,0,0,1,3,1,0,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E00004440,1,2,0,3,4,0,0,1,3,3,0,3,1,0,0,0,1,0,1,3,1,3,1,1,1,1,3,1,1,0,2,5,2,1,2,2,5,2,1,1,2,5,3,2,1,1,3,1,1,0,2,4,2,2,1,0,2,0,0,0,1,3,2,0,1,2,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00004723,1,4,0,1,2,1,0,2,4,5,2,5,2,1,1,4,4,3,1,2,5,9,5,4,3,2,5,3,2,1,1,4,1,0,1,1,3,1,0,0,1,4,2,1,0,1,3,2,1,0,1,3,1,1,0,1,3,2,0,1,2,4,2,0,1,1,1,3,0,1,0,1,0,0,0,0,2,0,0,0,1,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00004724,0,1,0,0,0,2,1,4,2,2,2,5,2,1,1,2,2,2,3,4,5,9,5,4,4,2,6,3,2,1,2,5,2,1,1,2,5,2,1,1,2,5,2,1,1,1,4,2,1,0,1,3,1,0,0,1,3,1,0,1,1,2,1,0,0,1,0,2,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00004725,2,5,1,2,3,4,2,7,3,3,3,6,3,3,2,6,2,2,5,7,5,9,5,5,4,2,6,3,2,2,2,5,2,1,2,1,3,1,1,1,1,4,2,1,0,1,5,2,1,1,1,4,2,1,0,3,7,4,2,2,1,2,1,0,0,0,0,2,0,0,0,2,1,0,0,1,2,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E00004726,1,3,0,1,1,1,0,3,0,1,0,3,1,0,0,0,1,1,0,1,1,3,1,0,0,2,5,2,2,1,2,4,2,1,1,2,4,2,1,1,2,5,2,2,1,0,2,1,0,0,1,3,2,1,0,1,4,2,0,1,1,3,1,0,0,4,1,4,0,1,1,4,1,1,1,1,2,1,0,0,1,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E00004727,2,5,1,2,2,2,0,4,2,2,2,5,3,2,1,3,5,3,3,4,3,6,3,3,2,2,4,2,2,1,2,4,2,1,1,3,6,3,2,2,1,3,2,1,0,1,4,2,1,0,1,3,1,1,0,2,4,2,1,1,0,2,1,0,0,1,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E00004728,1,2,0,3,3,1,0,3,1,2,1,4,1,1,1,1,2,1,1,1,4,7,4,3,2,2,6,4,2,2,1,4,1,0,1,2,5,2,1,1,0,3,1,0,0,1,3,2,1,0,2,4,2,1,1,1,4,2,0,1,1,3,1,0,1,3,1,4,0,1,0,1,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00004729,2,5,1,1,2,2,1,4,1,2,1,4,2,1,1,2,2,1,2,4,2,5,3,2,1,1,3,2,1,0,1,4,2,1,1,1,3,1,1,0,0,3,1,0,0,1,3,1,1,0,2,5,2,2,1,1,4,2,0,1,1,3,2,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00004730,2,5,1,1,2,1,0,3,2,2,1,3,1,1,0,0,0,0,0,0,0,3,1,0,0,0,3,1,0,0,0,2,0,0,0,1,4,2,1,1,1,4,2,1,0,1,4,2,1,0,0,2,0,0,0,2,5,2,1,1,1,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00004731,2,5,1,2,2,2,1,4,3,3,3,7,4,3,3,4,2,2,4,6,8,12,8,7,6,6,12,8,6,6,5,11,6,4,4,5,9,5,4,4,4,8,4,3,2,2,6,3,2,1,3,7,4,3,2,4,7,4,2,3,3,6,3,2,2,1,1,2,0,1,0,2,1,0,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
